Date,valley fever,DiseaseIncidence,symptoms,cancer symptoms,pregnancy,pregnancy symptoms,flu,flu symptoms,valley fever symptoms,symptoms of valley fever,valley fever symptoms in dogs,valley fever in dogs,symptoms of valley fever in dogs,what are the symptoms of valley fever,valley fever in dogs symptoms,symptoms of lyme disease,symptoms of mono,what is valley fever,valley fever treatment,treatment for valley fever,valley fever test,valley fever contagious,is valley fever contagious,valley fever rash,valley fever in humans,valley fever symptoms in humans,fluconazole,fluconazole for dogs,fluconazole side effects,fluconazole 150mg,fluconazole 150 mg,valley metro,metro valley bus,bus,metro bus,valley metro routes,phoenix valley metro,hay fever,hay fever symptoms
3/24/2013 0:00,72,0,92,65,92,83,8,10,73,0,28,41,0,0,0,40,21,64,0,0,0,0,28,0,38,0,17,0,0,0,84,49,41,96,61,72,47,67,0
3/31/2013 0:00,49,0,85,54,98,96,10,9,42,42,55,63,41,76,0,41,63,65,35,0,31,0,0,40,38,0,26,0,0,0,0,53,26,91,47,17,51,0,98
4/7/2013 0:00,100,0,85,45,90,86,10,13,100,57,0,45,0,83,0,0,34,35,37,44,0,100,30,44,0,0,47,44,0,0,0,58,43,75,45,51,33,44,53
4/14/2013 0:00,56,0,85,56,87,54,8,10,75,32,28,21,41,77,28,0,21,98,35,0,62,32,0,41,0,78,44,0,0,0,0,49,33,80,51,30,34,41,100
4/28/2013 0:00,34,0,93,65,88,87,9,9,32,21,55,41,41,75,0,40,42,0,0,0,61,31,28,0,38,0,35,0,0,0,0,50,38,100,62,30,24,53,0
5/5/2013 0:00,84,0,83,65,95,76,10,14,100,46,40,69,0,0,45,67,0,0,38,44,100,33,0,0,0,83,48,0,0,0,0,51,30,84,51,9,30,29,0
5/12/2013 0:00,70,1,87,67,92,65,9,6,43,73,32,0,0,0,32,0,24,0,100,47,35,0,33,47,0,0,61,47,48,0,0,55,37,71,58,15,39,47,0
5/19/2013 0:00,43,0,78,71,94,86,5,7,44,50,33,62,0,0,33,49,25,0,82,0,0,37,0,0,0,0,0,0,0,0,100,55,26,75,41,26,28,32,58
5/26/2013 0:00,49,0,76,64,82,63,6,8,46,39,51,39,51,0,51,51,0,0,43,0,0,0,0,50,0,0,43,0,0,0,0,60,35,66,72,27,42,34,0
6/2/2013 0:00,55,0,89,72,87,85,6,4,57,26,34,91,0,94,34,50,52,80,43,0,38,38,0,0,0,0,43,0,52,0,0,65,40,62,57,64,55,67,0
6/9/2013 0:00,54,0,84,64,88,81,3,3,17,26,0,51,0,0,0,51,78,100,42,49,37,38,0,0,47,0,43,0,0,0,0,64,51,66,63,26,42,0,0
6/16/2013 0:00,48,1,92,81,82,76,3,3,29,53,0,0,0,0,0,52,0,0,88,0,0,39,35,0,0,0,100,52,53,0,0,61,45,63,50,60,39,51,0
6/23/2013 0:00,57,1,82,100,86,85,6,6,17,76,33,38,100,0,33,50,0,39,42,97,37,0,0,0,0,0,42,0,50,0,0,53,27,69,57,52,37,33,0
6/30/2013 0:00,50,1,84,38,82,65,2,5,43,56,0,28,0,0,0,0,28,0,0,53,0,41,0,0,0,0,58,0,0,0,0,67,48,65,65,57,63,0,0
7/7/2013 0:00,58,1,91,78,87,84,5,10,42,27,36,27,0,100,36,0,27,43,45,0,40,40,0,53,100,100,46,53,55,0,0,55,40,68,51,28,31,35,0
7/14/2013 0:00,64,1,86,82,85,62,3,7,52,65,0,26,0,95,0,50,0,81,0,0,0,39,0,100,48,0,33,0,0,0,0,62,44,64,61,27,47,33,61
7/21/2013 0:00,56,1,87,94,88,65,5,5,52,93,0,26,0,96,35,0,53,41,65,0,0,0,0,51,97,96,22,0,0,0,0,61,50,69,100,54,30,51,0
7/28/2013 0:00,40,0,81,95,87,82,6,6,63,52,34,78,0,94,0,0,26,0,0,0,0,38,0,0,0,94,54,100,0,0,0,100,100,87,100,53,93,0,0
8/4/2013 0:00,46,1,85,73,86,89,4,3,34,51,0,51,0,0,0,100,39,40,42,0,0,38,69,0,0,0,86,50,0,0,0,85,54,89,72,100,100,0,0
8/11/2013 0:00,49,1,83,67,90,80,5,5,28,50,50,75,0,0,67,98,25,58,42,0,37,37,34,0,0,0,63,49,0,0,0,70,55,81,94,72,28,32,0
8/25/2013 0:00,49,0,71,64,81,59,5,5,44,100,49,25,49,0,33,0,38,39,41,48,0,37,0,96,45,91,31,48,0,0,0,70,47,69,63,82,16,32,0
9/1/2013 0:00,53,0,82,59,83,100,12,3,40,52,68,52,0,0,68,0,52,0,0,0,0,0,0,50,0,0,43,0,0,0,0,75,63,73,76,37,67,67,0
9/8/2013 0:00,53,1,74,73,83,75,9,3,50,26,33,63,0,0,33,0,26,40,0,0,37,37,33,0,0,0,63,0,0,0,0,63,37,74,57,42,33,0,0
9/15/2013 0:00,45,1,83,47,74,61,13,6,66,75,98,100,98,0,98,48,25,97,41,0,0,37,33,0,0,0,94,0,0,0,0,69,45,68,58,21,57,64,0
9/29/2013 0:00,18,1,72,55,75,65,17,11,50,51,0,38,0,0,0,0,25,0,41,49,0,38,34,48,0,0,63,49,100,0,0,64,37,67,62,41,33,49,0
10/6/2013 0:00,47,1,82,59,80,90,23,6,17,26,34,52,0,0,0,0,39,0,43,100,0,77,35,0,0,0,22,0,52,0,0,61,51,69,67,27,21,100,0
10/13/2013 0:00,44,1,75,48,89,83,19,5,45,51,100,89,50,94,100,0,52,0,42,49,0,0,0,0,0,0,85,98,0,0,0,68,41,67,66,42,46,33,0
10/20/2013 0:00,41,1,82,63,77,70,19,14,22,49,0,62,49,0,0,0,0,0,41,0,0,36,33,47,0,0,93,48,0,0,100,61,59,67,47,46,76,48,0
10/27/2013 0:00,37,1,81,67,77,82,18,12,44,51,33,51,0,90,0,49,25,0,41,0,37,0,0,48,0,0,0,0,50,0,0,60,50,74,63,42,61,32,0
11/3/2013 0:00,39,2,72,78,83,58,18,13,77,25,33,62,0,0,0,48,50,0,0,0,36,37,33,0,0,0,21,48,49,0,0,62,40,73,76,71,40,32,0
11/10/2013 0:00,71,1,78,74,82,67,11,15,59,24,97,61,48,88,65,0,49,94,0,0,35,0,0,0,0,0,61,47,0,0,0,61,58,70,83,30,51,0,0
11/24/2013 0:00,42,1,72,48,72,52,10,9,34,51,0,51,0,0,34,50,51,0,0,49,0,38,0,0,0,0,53,49,51,0,0,65,36,65,61,47,37,0,0
12/1/2013 0:00,48,2,79,44,82,51,9,12,21,24,62,59,0,0,0,46,24,37,0,0,34,0,0,45,43,86,79,0,0,0,95,52,56,67,47,53,77,30,0
12/8/2013 0:00,47,2,71,37,72,52,12,10,26,0,31,46,45,0,30,0,23,36,77,0,0,0,0,45,85,0,29,45,0,0,0,59,50,74,62,48,56,0,0
12/15/2013 0:00,28,2,72,51,73,67,14,15,35,22,0,22,0,83,0,0,0,0,37,0,0,0,0,0,0,82,75,0,45,0,0,55,54,71,71,65,40,29,52
12/22/2013 0:00,35,0,65,66,85,56,18,21,33,50,33,50,48,90,32,48,25,0,41,48,36,37,33,0,0,0,51,48,0,0,0,72,66,68,85,71,44,95,57
12/29/2013 0:00,39,0,77,38,90,74,26,30,10,68,30,46,0,82,30,0,23,70,74,0,0,33,0,0,41,82,0,0,0,0,0,63,51,69,68,28,52,58,0
1/5/2014 0:00,51,0,66,68,91,87,100,84,51,42,37,48,0,0,37,46,27,28,0,0,0,43,100,0,0,91,90,0,0,0,0,69,66,64,49,30,49,45,55
1/12/2014 0:00,96,0,65,81,90,51,91,69,49,41,0,56,0,0,0,0,0,27,0,0,0,83,48,0,0,0,26,0,50,0,0,77,65,75,61,25,62,22,52
1/19/2014 0:00,57,1,66,68,85,56,83,80,52,48,51,26,100,0,51,42,0,0,100,0,78,0,46,0,42,83,74,100,47,0,0,88,89,80,67,54,67,62,0
1/26/2014 0:00,76,0,64,65,96,51,98,100,76,38,100,26,0,81,100,0,48,26,0,0,38,39,89,41,0,0,32,49,46,0,0,91,77,69,74,91,53,30,0
2/2/2014 0:00,69,0,66,54,89,31,62,51,33,41,36,37,0,0,36,0,78,28,0,0,63,42,49,0,45,0,70,0,0,0,85,86,64,73,66,91,34,22,0
2/9/2014 0:00,56,0,62,63,83,41,51,54,25,56,0,25,0,0,0,0,23,50,49,0,0,0,0,0,41,0,56,0,46,0,0,76,78,70,79,56,43,100,48
2/16/2014 0:00,59,0,61,69,85,73,49,40,72,38,33,0,0,0,33,0,0,26,50,0,0,39,0,41,0,82,73,0,0,0,0,77,59,76,60,61,18,61,0
3/2/2014 0:00,67,0,61,67,86,68,32,18,59,100,0,0,0,0,0,43,100,0,0,0,81,41,0,0,44,0,25,0,0,82,0,55,45,69,38,28,28,64,0
3/16/2014 0:00,98,0,62,80,81,42,21,16,39,0,0,47,54,0,0,0,26,0,54,0,0,0,0,0,0,0,35,0,0,0,0,70,56,69,46,17,73,56,0
